x,y,label
-1414818445.2880905,659.7234284887465,Other
-448650805.29434574,4400.645865375911,Other
252729243.7468956,-1518.6622399553664,Other
-8164629.270029021,982.8536826871848,Other
227356011.74334338,-915.8240454923797,Other
102168577.74698953,-1935.6799935690744,Other
-80140412.27290684,1335.1473026768551,Other
-131110391.25611861,-1967.177535230836,Other
291456201.7427074,-625.8932044887085,Other
-170199840.26412588,-560.4919379018053,Other
214828981.74070802,-452.1114892004948,Other
309486706.74689573,-1368.3671123128602,Other
-115019690.25210236,-2682.507829691659,Other
2496028915.6382065,24929.063903223207,Other
294816073.7444739,-950.0639958420652,Other
165272021.7479294,-1945.6043807745061,Other
-6069696.29993204,6629.183302974902,Other
-375349205.255526,-2726.1393467397234,Other
130224680.73946922,-442.06505084782987,Other
58316641.744320795,-1547.864933995132,Other
216373292.74060914,-428.86171501202404,Other
176756783.73482475,557.2989285677088,Other
-536548199.27583426,677.3039805457539,Other
92612872.74739818,-2037.8369196728079,Other
191486397.74118865,-604.3882999899799,Other
170804601.7264361,2123.1368575347788,Other
-315286829.291091,4142.101182463121,Other
258520009.7468631,-1497.227919604279,Other
-458470595.2866954,2933.316364861101,Other
250934821.74604556,-1364.25635511475,Other
-474088649.28518075,2606.4168010228013,Other
-131961767.26253492,-759.3327111756344,Other
139438905.7437837,-1231.6630109511318,Other
192891329.74131826,-625.1026585470831,Other
292011995.74596006,-1237.9124319671898,Other
167217014.7396607,-380.4050174236133,Other
207163564.74568817,-1412.0833994105783,Other
-673712962.2580867,-3034.775833174527,Other
253327952.74215978,-624.1164757773737,Other
296903582.7437833,-814.2023497725486,Other
-713800388.3143514,7472.38575215746,Other
63636951.737212084,-193.2123189892977,Other
-475874950.2577054,-2582.0440115588244,Other
-110731167.25993638,-1193.1411789823933,Other
219230559.74484286,-1220.0253458215534,D#
-377434844.2595295,-1977.0056243472836,Other
-78940736.28387739,3407.4736807206295,Other
271167764.74558896,-1223.2172192478552,Other
211421387.747749,-1788.991786711271,Other
275031584.74465686,-1036.9617351932059,Other
72286089.74161986,-1001.6720235360483,Other
173145922.7444183,-1262.072211033914,Other
-148250418.2619699,-909.532432441654,Other
148957383.73894125,-292.76992689954926,Other
-831549706.2719944,-829.806122284715,Other
-1092212550.2801194,13.203625968474979,Other
-572251921.282652,1868.3879978123596,Other
-1132804716.2411876,-7440.683288439209,Other
277449559.74508286,-1110.9859188316589,Other
111673070.73617737,129.5365852930939,Other
-147766096.2663402,-83.20944195740839,Other
286805428.7396872,-68.08908929383959,Other
